Provinsi,Tahun,outflow_tunai,kartu_atm_debet,Server_Based,SKNBI_Asal,scaled_idx,Cluster_raw,Target_Semantic,PCA1,PCA2
Nanggroe Aceh Darussalam,2023,6.940271168894275,1.6347356752174866,0.9757154811902269,6.7102220550928005,102,0,Digital Menengah,-0.26311800552639547,0.3426273939306662
Nusa Tenggara Barat,2023,6.76394337627091,1.6891664784626244,0.830280054018089,6.618671428269673,107,0,Digital Menengah,-0.41961261875845424,0.27920207986078915
Nusa Tenggara Timur,2023,6.286795159147854,1.5618681857278083,0.5020790336261809,6.3649860684872825,112,0,Digital Menengah,-0.9591678347702752,0.08040906231217862
Papua,2023,7.016878586893144,1.0844639772227946,0.22326854350236075,6.447250052031437,117,0,Digital Menengah,-0.9529058936836393,0.8358594870997822
Papua Barat,2023,5.554771309361656,0.6462115706412024,0.2724690642224227,5.131451791312398,122,3,Digital Rendah,-2.326039736907644,-0.29671987516233456
Riau,2023,7.303519982327861,1.8473701829113447,1.1460257648966738,7.834336002595121,127,0,Digital Menengah,0.48847698203631096,0.4731159863125999
Sulawesi Barat,2023,5.47437434325179,0.7230590757966263,0.3185968117910979,3.4892938531942144,132,3,Digital Rendah,-2.8626569415386984,-0.2834039499641373
Sulawesi Selatan,2023,7.355900208041816,2.244323629842356,1.3477253591323248,7.324961144108291,137,0,Digital Menengah,0.6429307474674351,0.43181509985873034
Sulawesi Tengah,2023,6.343448228101679,1.190285458522355,0.510809573637188,6.346022650167958,142,0,Digital Menengah,-1.1290821944325753,0.1332239518955057
Sulawesi Tenggara,2023,6.4963301473206645,1.2055033574317253,0.49279860913620077,5.7175637645293715,147,3,Digital Rendah,-1.2682803445347153,0.3086650161374114
Sulawesi Utara,2023,6.430918408274214,1.2316351249164237,0.6313988521007885,6.419963817782027,152,0,Digital Menengah,-0.9833675508831843,0.13538884740391122
Sumatera Barat,2023,6.672459880905252,1.8520452885593697,1.013396359503018,6.759848362816069,157,0,Digital Menengah,-0.24600848517434812,0.09352523692508682
Sumatera Selatan,2023,7.383649857833536,2.0373702753909835,1.4610809741444117,7.697554581910971,162,0,Digital Menengah,0.7271096050560112,0.3758608169889751
Sumatera Utara,2023,7.9931036794610675,2.6156306809792604,1.814346017382331,8.828753002852896,167,1,Digital Maju,1.8789325012549964,0.6019293343160405
Bali,2024,7.0859504357568,1.7591520654138533,1.4000951078821982,7.507245688481513,3,0,Digital Menengah,0.3417011731449441,0.18279735433222039
Banten,2024,7.12556152289031,2.5951406457257624,2.603277043779897,7.923505221051955,8,0,Digital Menengah,1.4997434207442888,-0.4711374417747429
Bengkulu,2024,6.488438747170954,1.1368930035374698,0.8200814746875267,5.494481310720827,13,3,Digital Rendah,-1.2324976012203122,0.14478276569283804
D.I. Yogyakarta,2024,7.019142273291472,1.8700076959885004,1.6177921847847123,7.029254084026113,18,0,Digital Menengah,0.3053585483511465,0.04035560791623988
DKI Jakarta,2024,9.589984052437421,3.5811781593022873,6.349927426403948,12.670744954971461,23,2,Digital Spesialis Non-Tunai,6.579569340609028,-0.7624345699654304
Gorontalo,2024,5.145902855532874,0.8035775477740817,0.506736223555278,4.8517950761333015,28,3,Digital Rendah,-2.430666294235852,-0.7433119361936101
Jambi,2024,6.669823129184128,1.4793873689047843,1.1919830131867395,7.0407070654099,33,0,Digital Menengah,-0.2648429800711777,-0.011809208974737445
Jawa Barat,2024,8.324999058762598,3.978315593540376,3.931117653407933,9.044967489406245,38,1,Digital Maju,3.8125309481236096,-0.2967801389624829
Jawa Tengah,2024,8.639732214720313,3.771974920451431,3.236325047824601,8.815922048515636,43,1,Digital Maju,3.4586788606588836,0.35066182473755525
Jawa Timur,2024,8.847339534693635,3.7907519957315743,3.2625634088622815,9.502198184789732,48,1,Digital Maju,3.8161965776905413,0.4627775232825462
Kalimantan Barat,2024,7.074085390267078,1.7443868561082156,1.3382020783745585,7.455112740966131,53,0,Digital Menengah,0.28169356113642885,0.2096026891626528
Kalimantan Selatan,2024,6.750281357451187,1.6626890323631955,1.4174751078158967,7.10959232023574,58,0,Digital Menengah,-0.0010696175893583626,-0.0743897621040627
Kalimantan Tengah,2024,6.883453745494487,1.3206406850948391,0.951011817640017,6.489348088499961,63,0,Digital Menengah,-0.5427296786190179,0.3313666644024597
Kalimantan Timur,2024,7.452017876094428,1.9239756831479724,1.4827437402750092,7.8981229104957045,68,0,Digital Menengah,0.7793690264815424,0.41061264937471176
Kalimantan Utara,2024,5.567764372971965,0.0,0.00019048185717910167,5.926471097092602,73,3,Digital Rendah,-2.514902770414212,-0.1761848379741526
Kep Bangka Belitung,2024,6.074981503437012,0.8694778765405059,0.7820494492420964,5.853916707100317,78,3,Digital Rendah,-1.471307306182959,-0.1914032489983972
